code_iso3,pays,devise,code_devise
XKX,Kosovo,euro,EUR
KWT,Koweït,dinar koweïtien,KWD
LAO,Laos,kip,LAK
LSO,Lesotho,loti,LSL
LVA,Lettonie,euro,EUR
LBN,Liban,livre libanaise,LBP
LBR,Liberia,dollar libérien,LRD
LBY,Libye,dinar libyen,LYD
LIE,Liechtenstein,franc suisse,CHF
LTU,Lituanie,euro,EUR
LUX,Luxembourg,euro,EUR
MAC,"Macao, RAS",pataca,MOP
MKD,Macédoine du Nord,denar,MKD
MDG,Madagascar,ariary,MGA
MYS,Malaisie,ringgit,MYR
MWI,Malawi,kwacha malawien,MWK
MDV,Maldives,rufiyaa,MVR
MLI,Mali,franc CFA (BCEAO),XOF
MLT,Malte,euro,EUR
MAR,Maroc,dirham marocain,MAD
MHL,Îles Marshall,dollar américain,USD
MUS,Maurice,roupie mauricienne,MUR
MRT,Mauritanie,ouguiya,MRU
MEX,Mexique,peso mexicain,MXN
FSM,Micronésie,dollar américain,USD
MDA,Moldavie,leu moldave,MDL
MCO,Monaco,euro,EUR
MNG,Mongolie,tugrik,MNT
MNE,Monténégro,euro,EUR
MOZ,Mozambique,metical,MZN
MMR,Myanmar,kyat,MMK
NAM,Namibie,dollar namibien,NAD
NRU,Nauru,dollar australien,AUD
NPL,Népal,roupie népalaise,NPR
NIC,Nicaragua,córdoba,NIO
NER,Niger,franc CFA (BCEAO),XOF
NGA,Nigeria,naira,NGN
NOR,Norvège,couronne norvégienne,NOK
NZL,Nouvelle-Zélande,dollar néo-zélandais,NZD
OMN,Oman,rial omanais,OMR
UGA,Ouganda,shilling ougandais,UGX
UZB,Ouzbékistan,sum,UZS
PAK,Pakistan,roupie pakistanaise,PKR
PLW,Palaos,dollar américain,USD
PSE,Cisjordanie et Gaza,nouveau shekel,ILS
PAN,Panama,balboa (dollar américain en circulation),PAB
PNG,Papouasie-Nouvelle-Guinée,kina,PGK
PRY,Paraguay,guarani,PYG
NLD,Pays-Bas,euro,EUR
PER,Pérou,sol,PEN
PHL,Philippines,peso philippin,PHP
POL,Pologne,zloty,PLN
PRT,Portugal,euro,EUR
PRI,Porto Rico,dollar américain,USD
QAT,Qatar,riyal qatari,QAR
ROU,Roumanie,leu roumain,RON
GBR,Royaume-Uni,livre sterling,GBP
RUS,Russie,rouble russe,RUB
RWA,Rwanda,franc rwandais,RWF
KNA,Saint-Christophe-et-Niévès,dollar des Caraïbes orientales,XCD
SMR,Saint-Marin,euro,EUR
VCT,Saint-Vincent-et-les-Grenadines,dollar des Caraïbes orientales,XCD
LCA,Sainte-Lucie,dollar des Caraïbes orientales,XCD
SLB,Îles Salomon,dollar des Salomon,SBD
SLV,Salvador,dollar américain,USD
WSM,Samoa,tala,WST
STP,Sao Tomé-et-Principe,dobra,STN
SEN,Sénégal,franc CFA (BCEAO),XOF
SRB,Serbie,dinar serbe,RSD
SYC,Seychelles,roupie seychelloise,SCR
SLE,Sierra Leone,leone,SLE
SGP,Singapour,dollar de Singapour,SGD
SVK,Slovaquie,euro,EUR
SVN,Slovénie,euro,EUR
SOM,Somalie,shilling somalien,SOS
SDN,Soudan,livre soudanaise,SDG
SSD,Soudan du Sud,livre sud-soudanaise,SSP
LKA,Sri Lanka,roupie srilankaise,LKR
SWE,Suède,couronne suédoise,SEK
CHE,Suisse,franc suisse,CHF
SUR,Suriname,dollar surinamais,SRD
SYR,Syrie,livre syrienne,SYP
TJK,Tadjikistan,somoni,TJS
TZA,Tanzanie,shilling tanzanien,TZS
TCD,Tchad,franc CFA (BEAC),XAF
CZE,Tchéquie,couronne tchèque,CZK
THA,Thaïlande,baht,THB
TLS,Timor oriental,dollar américain,USD
TGO,Togo,franc CFA (BCEAO),XOF
TON,Tonga,pa'anga,TOP
TTO,Trinité-et-Tobago,dollar de Trinité-et-Tobago,TTD
TUN,Tunisie,dinar tunisien,TND
TKM,Turkménistan,manat turkmène,TMT
TUR,Turquie,livre turque,TRY
TUV,Tuvalu,dollar australien,AUD
UKR,Ukraine,hryvnia,UAH
URY,Uruguay,peso uruguayen,UYU
VUT,Vanuatu,vatu,VUV
VAT,Vatican,euro,EUR
VEN,Venezuela,bolívar,VES
VNM,Viêt Nam,dong,VND
YEM,Yémen,rial yéménite,YER
ZMB,Zambie,kwacha zambien,ZMW
ZWE,Zimbabwe,Zimbabwe Gold (ZiG),ZWG
TWN,Taïwan,nouveau dollar taïwanais,TWD
